state,food
Alabama,0
Alaska,0
Arizona,7
Arkansas,0
California,17
Colorado,2
Connecticut,0
Delaware,0
District of Columbia,2
Florida,0
Georgia,1
Hawaii,1
Idaho,2
Illinois,0
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,1
Massachusetts,0
Michigan,5
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,4
New Jersey,0
New Mexico,5
New York,0
North Carolina,1
North Dakota,3
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,1
Utah,0
Vermont,14
Virginia,0
Washington,0
West Virginia,1
Wisconsin,0
Wyoming,0
